date,Total new users in the site,Clicks on download from anywhere,CLI downloads (from web),CLI downloads (from NPM),Total CLI downloads,First run of the CLI,Total pushes from the CLI,Successful pushes from the CLI,First pushes from the CLI,Visit the showcase after push - method 1,Visit the showcase after push - method 2
2018-01-01,245,,,0,0,,,,,2,
2018-01-02,610,,,0,0,,,,,2,
2018-01-03,749,,,0,0,,,,,3,
2018-01-04,776,,,0,0,,,,,6,
2018-01-05,694,,,0,0,,,,,4,
2018-01-06,372,,,0,0,,,,,2,
2018-01-07,379,,,0,0,,,,,2,
2018-01-08,761,,,0,0,,,,,5,
2018-01-09,855,,,0,0,,,,,7,
2018-01-10,890,,,0,0,,,,,3,
2018-01-11,873,,,0,0,,,,,3,
2018-01-12,707,,,0,0,,,,,3,
2018-01-13,386,,,0,0,,,,,2,
2018-01-14,408,,,0,0,,,,,2,
2018-01-15,768,,,0,0,,,,,4,
2018-01-16,908,,,0,0,,,,,5,
2018-01-17,867,,,0,0,,,,,4,
2018-01-18,870,,,0,0,,,,,12,
2018-01-19,769,,,0,0,,,,,6,
2018-01-20,409,,,0,0,,,,,,
2018-01-21,356,,,0,0,,,,,,
2018-01-22,917,,,0,0,,,,,1,
2018-01-23,938,,,0,0,,,,,5,
2018-01-24,933,,,3,3,,,,,6,
2018-01-25,852,,,23,23,,,,,5,
2018-01-26,759,,,28,28,,,,,3,
2018-01-27,416,,,0,0,,,,,2,
2018-01-28,421,,,2,2,,,,,2,
2018-01-29,979,,,4,4,,,,,4,
2018-01-30,968,,,2,2,,,,,5,
2018-01-31,908,,,16,16,,,,,3,
2018-02-01,913,,,5,5,,,,,6,
2018-02-02,817,,,2,2,,,,,8,
2018-02-03,427,,,0,0,,,,,2,
2018-02-04,417,,,3,3,,,,,4,
2018-02-05,939,,,1,1,,,,,7,
2018-02-06,987,,,2,2,,,,,6,
2018-02-07,955,,,29,29,,,,,8,
2018-02-08,969,,,55,55,,,,,3,
2018-02-09,983,,,22,22,,,,,,
2018-02-10,506,,,8,8,,,,,,
2018-02-11,449,,,0,0,,,,,,
2018-02-12,934,,,25,25,,,,,6,
2018-02-13,882,,,144,144,,,,,5,
2018-02-14,945,,,153,153,,,,,3,
2018-02-15,902,,,71,71,,,,,8,
2018-02-16,784,,,202,202,,,,,2,
2018-02-17,396,,,14,14,,,,,,
2018-02-18,408,,,30,30,,,,,,
2018-02-19,857,,,108,108,,,,,3,
2018-02-20,961,,,87,87,,,,,3,
2018-02-21,944,,,216,216,,,,,5,
2018-02-22,993,,,105,105,,,,,5,
2018-02-23,797,,,136,136,,,,,6,
2018-02-24,426,,,3,3,,,,,,
2018-02-25,444,,,11,11,,,,,2,
2018-02-26,1023,,,39,39,,,,,3,
2018-02-27,1019,,,81,81,,,,,7,
2018-02-28,960,,,158,158,,,,,4,
2018-03-01,941,,,100,100,,,,,8,
2018-03-02,761,,,34,34,,,,,7,
2018-03-03,425,,,72,72,,,,,1,
2018-03-04,459,,,2,2,,,,,1,
2018-03-05,924,,,121,121,,,,,3,
2018-03-06,1024,,,37,37,,,,,4,
2018-03-07,1012,,,44,44,,,,,8,
2018-03-08,914,,,99,99,,,,,5,
2018-03-09,871,,,4,4,,,,,,
2018-03-10,467,,,1,1,,,,,1,
2018-03-11,526,,,1,1,,,,,1,
2018-03-12,987,,,24,24,,,,,1,
2018-03-13,1136,,,108,108,,,,,6,
2018-03-14,1079,,,108,108,,,,,4,
2018-03-15,1148,,,453,453,,1,,,5,
2018-03-16,856,,,268,268,,,,,4,
2018-03-17,467,,,45,45,,4,,,1,
2018-03-18,560,,,66,66,,9,,,1,
2018-03-19,1103,,,32,32,,14,,,3,
2018-03-20,1124,,,6,6,,13,,,3,
2018-03-21,502,,,1,1,,1,,,,
2018-03-22,1089,,,5,5,,4,,,3,
2018-03-23,935,,,5,5,,4,,,2,
2018-03-24,477,,,3,3,,4,,,1,
2018-03-25,494,,,1,1,,6,,,1,
2018-03-26,1085,,,15,15,,,,,1,
2018-03-27,1231,,,46,46,1,,,,3,
2018-03-28,1224,,,124,124,3,19,,,4,
2018-03-29,953,,,4,4,1,2,,,2,
2018-03-30,692,,,3,3,1,,,,2,
2018-03-31,461,,,38,38,6,,,,1,
2018-04-01,410,,,3,3,6,7,,,1,
2018-04-02,768,,,1,1,2,1,,,3,
2018-04-03,1099,,,23,23,4,,,,2,
2018-04-04,1063,,,5,5,4,1,,,1,
2018-04-05,1103,,,1,1,5,13,,,4,
2018-04-06,936,,,5,5,6,6,,,2,
2018-04-07,425,,,2,2,,,,,1,
2018-04-08,425,,,2,2,,3,,,1,
2018-04-09,985,1,1,2,3,5,2,,,2,
2018-04-10,1171,18,7,12,19,7,11,,,3,
2018-04-11,1041,25,5,96,101,5,5,,,2,
2018-04-12,1036,28,4,14,18,1,2,,,2,
2018-04-13,907,21,5,43,48,1,4,,,2,
2018-04-14,462,19,2,3,5,,,,,1,
2018-04-15,574,15,3,4,7,,5,,,1,
2018-04-16,1151,17,5,13,18,,6,,,4,
2018-04-17,1274,26,4,150,154,4,11,,,7,
2018-04-18,1124,27,4,22,26,3,1,,,1,
2018-04-19,1082,21,7,11,18,4,18,,,5,
2018-04-20,909,23,9,157,166,1,8,,,3,
2018-04-21,492,13,2,6,8,,,,,1,
2018-04-22,543,16,4,1,5,,9,,,2,
2018-04-23,1133,32,7,2,9,1,4,,,4,
2018-04-24,1155,21,7,8,15,3,20,3,,3,
2018-04-25,1137,20,4,1,5,1,,,,2,
2018-04-26,1016,20,6,63,69,,7,3,,3,
2018-04-27,822,18,4,48,52,,,,,3,
2018-04-28,463,14,5,4,9,3,4,2,1,1,
2018-04-29,443,12,2,2,4,0,0,0,0,1,0
2018-04-30,845,20,4,2,6,2,0,0,0,3,0
2018-05-01,779,12,4,25,29,2,0,0,0,0,0
2018-05-02,1027,26,7,25,32,0,0,0,0,0,0
2018-05-03,983,16,9,4,13,1,13,6,1,0,0
2018-05-04,841,17,4,4,8,1,23,10,1,1,0
2018-05-05,403,11,3,3,6,1,0,0,0,0,0
2018-05-06,430,11,10,2,12,1,4,1,1,1,0
2018-05-07,984,29,12,4,16,2,0,0,0,0,0
2018-05-08,1158,20,6,3,9,2,0,0,0,0,0
2018-05-09,955,23,6,51,57,3,12,0,0,0,0
2018-05-10,872,22,2,2,4,3,18,0,0,0,0
2018-05-11,840,22,11,2,13,0,10,3,1,3,0
2018-05-12,400,12,2,26,28,0,6,0,0,0,0
2018-05-13,388,7,2,2,4,0,0,0,0,0,0
2018-05-14,1056,21,8,3,11,3,27,10,1,8,0
2018-05-15,1042,25,4,5,9,0,22,2,0,9,0
2018-05-16,1069,21,5,2,7,3,33,19,1,0,0
2018-05-17,967,14,2,4,6,3,18,10,0,0,0
2018-05-18,862,18,1,7,8,1,23,10,1,3,0
2018-05-19,450,12,3,25,28,1,0,0,0,0,0
2018-05-20,383,11,2,2,4,0,5,0,0,3,0
2018-05-21,858,17,3,3,6,1,0,0,0,0,0
2018-05-22,918,17,3,4,7,2,13,6,0,0,0
2018-05-23,996,15,6,25,31,1,5,2,0,0,0
2018-05-24,971,13,2,2,4,0,0,0,0,0,0
2018-05-25,891,11,1,3,4,0,9,4,0,0,0
2018-05-26,390,9,3,0,3,1,0,0,0,0,0
2018-05-27,347,10,0,0,0,0,0,0,0,0,0
2018-05-28,811,21,4,0,4,1,4,2,0,0,0
2018-05-29,990,15,2,0,2,1,4,2,0,0,0
2018-05-30,934,10,2,0,2,1,4,2,0,0,0
2018-05-31,843,17,3,0,3,1,1,0,0,0,0
2018-06-01,757,11,3,0,3,1,0,0,0,0,0
2018-06-02,429,7,2,0,2,1,39,18,0,0,0
2018-06-03,490,6,2,0,2,0,0,0,0,0,0
2018-06-04,990,13,1,0,1,0,3,0,0,0,0
2018-06-06,1276,9,3,0,3,1,4,2,0,0,0
2018-06-07,985,19,3,0,3,1,31,13,0,0,0
2018-06-08,915,13,1,0,1,1,22,9,0,0,0
2018-06-09,437,9,2,0,2,3,8,1,1,0,0
2018-06-10,458,8,2,0,2,6,29,10,4,0,0
2018-06-11,1132,10,2,0,2,2,18,6,1,0,0
2018-06-12,1284,11,3,0,3,1,5,2,1,1,0
2018-06-13,1297,20,3,0,3,2,12,6,0,2,0
2018-06-14,1258,11,1,0,1,2,8,4,0,3,0
2018-06-15,968,15,2,0,2,1,12,9,0,0,0
2018-06-16,475,10,1,0,1,2,6,2,0,1,0
2018-06-17,476,7,0,0,0,0,12,11,0,0,0
2018-06-18,1098,26,7,0,7,3,1,1,0,0,0
2018-06-19,1196,12,1,0,1,5,17,6,0,0,0
2018-06-20,1195,11,5,0,5,1,4,2,0,0,0
2018-06-21,1159,8,0,0,0,3,21,11,1,0,0
2018-06-22,937,5,2,0,2,2,9,7,0,0,0
2018-06-23,507,4,0,6,6,4,9,4,1,0,0
2018-06-24,582,2,0,0,0,0,0,0,0,0,0
2018-06-25,1206,8,3,0,3,2,10,4,2,0,0
2018-06-26,1299,5,2,0,2,5,12,5,1,1,0
