date,incoming user,interacting user,heavily interacting user,interested user,engaged user,signed up user
2018-05-01,1026,0,549,2,0,0
2018-05-02,1309,781,736,3,0,0
2018-05-03,1253,1081,787,3,0,0
2018-05-04,1047,915,616,0,0,0
2018-05-05,535,480,320,0,0,0
2018-05-06,588,497,295,2,0,0
2018-05-07,1156,991,635,0,0,0
2018-05-08,1302,1156,792,3,0,0
2018-05-09,1106,960,727,0,0,0
2018-05-10,873,753,683,2,1,0
2018-05-11,913,795,711,1,0,0
2018-05-12,448,390,308,1,1,0
2018-05-13,436,344,328,2,1,0
2018-05-14,1058,893,789,4,1,0
2018-05-15,1085,923,826,0,0,0
2018-05-16,1034,881,721,1,0,0
2018-05-17,930,786,690,2,0,0
