date,incoming user,interacting user,heavily interacting user,interested user,engaged user,signed up user
2018-05-07,6914,4745,3938,10,0,0
2018-05-08,7190,5901,4181,11,0,0
2018-05-09,6987,6080,4172,8,0,0
2018-05-10,6607,5752,4068,7,1,0
2018-05-11,6473,5632,4163,8,1,0
2018-05-12,6386,5542,4151,9,2,0
2018-05-13,6234,5389,4184,9,3,0
2018-05-14,6136,5291,4338,13,4,0
2018-05-15,5919,5058,4372,10,4,0
2018-05-16,5847,4979,4366,11,4,0
2018-05-17,5904,5012,4373,11,3,0
2018-05-18,5839,4926,4240,12,3,0
2018-05-19,5779,4847,4186,11,2,0
2018-05-20,5713,4806,4111,9,1,0
2018-05-21,5489,4608,3838,7,1,0
2018-05-22,5356,4434,3656,7,1,0
2018-05-23,5264,4337,3586,7,0,0
2018-05-24,5296,4363,3576,7,1,0
2018-05-25,5362,4416,3587,5,1,0
2018-05-26,5336,4402,3584,6,2,0
2018-05-27,5271,4344,3539,6,2,0
2018-05-28,5191,4282,3507,4,2,0
2018-05-29,5142,4260,3491,4,2,0
2018-05-30,5122,4241,3541,3,2,0
2018-05-31,4892,4043,3422,4,2,0
2018-06-01,4656,3849,3353,4,2,0
2018-06-02,4653,3856,3362,3,1,0
2018-06-03,4809,3959,3454,3,1,0
2018-06-04,5034,4154,3754,4,2,0
2018-06-05,5194,4333,3984,5,2,0
2018-06-06,5218,4341,4091,8,2,0
2018-06-07,5352,4453,4193,5,1,0
2018-06-08,5494,4556,4334,6,1,0
2018-06-09,5514,4553,4386,6,1,0
2018-06-10,5457,4525,4367,6,1,0
2018-06-11,5394,4447,4301,8,0,0
2018-06-12,5454,4455,4252,8,0,0
2018-06-13,5569,4540,4247,5,0,0
2018-06-14,5645,4586,4299,7,0,0
2018-06-15,5582,4515,4235,8,0,0
2018-06-16,5585,4509,4240,9,0,0
2018-06-17,5551,4474,4288,9,0,0
2018-06-18,5578,4445,4247,6,0,0
2018-06-19,5411,4285,4192,5,0,0
2018-06-20,5338,4171,4166,6,0,0
2018-06-21,5273,4085,4100,5,0,0
2018-06-22,5313,4104,4064,3,0,0
2018-06-23,5285,4063,4051,3,0,0
2018-06-24,5392,4041,3991,3,0,0
2018-06-25,5431,4020,3972,4,0,0
2018-06-26,5435,3989,3911,4,0,0
2018-06-27,5340,3942,3775,6,0,0
2018-06-28,5314,3894,3784,5,0,0
2018-06-29,5227,3849,3759,5,0,0
2018-06-30,5184,3838,3697,4,0,0
2018-07-01,5041,3844,3684,4,0,0
2018-07-02,4823,3754,3634,4,0,0
2018-07-03,4716,3737,3636,7,0,0
2018-07-04,4624,3678,3657,4,0,0
2018-07-05,4837,3856,3702,9,0,0
2018-07-06,4911,3911,3775,9,0,0
2018-07-07,4976,3956,3803,9,0,0
2018-07-08,5005,3972,3862,11,0,0
2018-07-09,5260,4183,4112,18,0,0
2018-07-10,5314,4179,4153,52,1,0
2018-07-11,5404,4228,4180,84,1,0
2018-07-12,5234,4099,4232,115,1,0
2018-07-13,5143,4030,4233,150,1,0
2018-07-14,5089,3973,4250,164,1,0
2018-07-15,5116,3998,4264,173,0,0
2018-07-16,5125,3943,4203,200,3,0
2018-07-17,5327,4090,4348,199,3,0
2018-07-18,5368,4132,4476,198,3,0
2018-07-19,5460,4205,4647,203,5,0
2018-07-20,5548,4247,4657,201,5,0
2018-07-21,5619,4305,4676,205,6,0
2018-07-22,5675,4316,4758,215,8,0
2018-07-23,5711,4370,4831,222,7,0
2018-07-24,5608,4326,4870,234,6,0
2018-07-25,5696,4417,5056,258,6,0
2018-07-26,5694,4425,5001,257,4,0
2018-07-27,5756,4489,5135,260,4,0
2018-07-28,5805,4517,5205,256,3,0
2018-07-29,5785,4541,5179,255,1,0
2018-07-30,5651,4449,5133,244,0,0
2018-07-31,5629,4409,5061,241,0,0
2018-08-01,5518,4285,4893,232,1,0
2018-08-02,5474,4261,4862,234,1,0
2018-08-03,5580,4306,4946,231,2,0
2018-08-04,5594,4319,4974,239,2,0
2018-08-05,5684,4359,4977,237,3,0
2018-08-06,5833,4459,5076,239,3,0
2018-08-07,6089,4642,5378,260,3,0
2018-08-08,6299,4798,5538,257,3,0
2018-08-09,6511,4927,5649,265,4,0
2018-08-10,6526,4935,5634,265,4,0
2018-08-11,6618,5002,5658,269,4,0
2018-08-12,6656,5050,5787,283,3,0
2018-08-13,6772,5147,5896,301,3,0
2018-08-14,6608,5045,5662,282,3,0
2018-08-15,6465,4948,5544,274,3,0
2018-08-16,6503,4978,5589,274,4,0
2018-08-17,6548,5044,5612,273,4,0
2018-08-18,6469,4993,5619,264,5,0
2018-08-19,6455,4958,5569,254,5,0
2018-08-21,6504,5015,5561,263,6,0
2018-08-22,6528,5015,5589,263,7,0
2018-08-23,6669,5111,5641,273,7,0
2018-08-24,6477,4984,5457,253,7,0
2018-08-25,5919,4537,4985,239,6,0
2018-08-26,5955,4572,5006,239,7,0
2018-08-27,6688,5151,5658,255,7,0
2018-08-28,6694,5153,5692,240,7,0
2018-08-29,6761,5224,5779,234,9,0
2018-09-01,6075,4700,5249,210,8,0
2018-09-02,5530,4273,4829,199,7,0
2018-09-03,6063,4707,5344,223,9,0
2018-09-04,6676,5234,5843,246,7,0
2018-09-05,6517,5119,5695,248,9,0
2018-09-06,6499,5100,5728,248,10,0
2018-09-07,6345,4967,5596,250,10,0
2018-09-08,6376,4988,5599,245,10,0
2018-09-09,6452,5050,5677,246,10,0
2018-09-10,6583,5160,5737,243,10,0
2018-09-11,6699,5227,5909,267,11,0
2018-09-12,6781,5304,5935,267,10,0
2018-09-13,6757,5290,5915,257,9,0
2018-09-14,6778,5309,5935,253,7,0
2018-09-15,6870,5380,6050,263,8,0
2018-09-16,6907,5386,6055,267,7,0
2018-09-17,7145,5566,6200,284,8,0
2018-09-18,7205,5584,6138,260,9,0
2018-09-19,7435,5765,6478,285,10,0
2018-09-20,7525,5831,6555,317,14,0
2018-09-21,7583,5903,6566,322,15,0
2018-09-22,7586,5895,6492,315,15,0
2018-09-23,7605,5905,6479,315,18,0
2018-09-24,7482,5827,6407,315,16,0
2018-09-25,7569,5927,6507,320,15,0
2018-09-26,7505,5869,6427,301,14,0
2018-09-27,7509,5886,6543,292,9,0
2018-09-28,7596,5889,6703,286,7,0
2018-09-29,7622,5921,6861,287,6,0
2018-09-30,7588,5917,6866,288,6,0
2018-10-01,7636,5913,6827,275,5,0
2018-10-02,7521,5787,6786,279,5,0
2018-10-03,7580,5835,6842,284,6,0
2018-10-04,7582,5935,6660,268,6,0
2018-10-05,7558,6089,6543,268,6,0
2018-10-06,7548,6151,6528,272,6,0
2018-10-07,7555,6223,6555,278,3,0
2018-10-08,7557,6389,6787,283,4,0
2018-10-09,7749,6715,6888,287,5,0
2018-10-10,7824,6778,6867,285,5,0
2018-10-11,8030,6813,7130,299,7,0
2018-10-12,8125,6726,7277,301,10,0
2018-10-13,8188,6704,7257,313,10,0
2018-10-14,8369,6791,7340,322,11,0
2018-10-15,8550,6767,7392,336,14,0
2018-10-16,8580,6630,7436,339,17,0
2018-10-17,8477,6536,7317,346,17,0
2018-10-18,8338,6419,7207,345,19,0
2018-10-19,8232,6356,7117,352,18,0
2018-10-20,8263,6393,7140,342,19,0
2018-10-21,8194,6320,7165,340,20,0
2018-10-22,8070,6195,6927,294,16,0
2018-10-23,8072,6185,6890,258,12,0
2018-10-24,8096,6209,6927,222,13,0
2018-10-25,8040,6179,6710,185,14,0
2018-10-26,8002,6167,6628,145,13,0
2018-10-27,7963,6151,6548,128,12,0
2018-10-28,7970,6128,6508,97,11,0
2018-10-29,8094,6237,6627,101,12,0
2018-10-30,8011,6171,6429,98,14,0
2018-10-31,7974,6136,6354,95,13,0
2018-11-01,7935,6105,6423,93,8,0
2018-11-02,8011,6135,6373,99,9,0
2018-11-03,7975,6066,6355,99,10,0
2018-11-04,8047,6127,6483,107,11,0
2018-11-05,7977,6091,6550,106,12,0
2018-11-06,7926,6066,6583,110,10,0
2018-11-07,7959,6097,6594,111,8,0
2018-11-08,8176,6265,6716,118,9,0
2018-11-09,8249,6345,6908,118,7,0
2018-11-10,8247,6349,6871,109,6,0
2018-11-11,8168,6309,6770,107,4,0
2018-11-12,8162,6298,6656,109,4,0
2018-11-13,8270,6367,6800,108,7,0
2018-11-14,8356,6443,6856,110,10,0
2018-11-15,8237,6363,6819,97,9,0
2018-11-16,8198,6313,6828,101,10,0
2018-11-17,8245,6355,6850,113,14,0
2018-11-18,8214,6344,6841,109,15,0
2018-11-19,8161,6309,6894,104,15,0
2018-11-20,8137,6278,6943,106,13,0
2018-11-21,7942,6122,6890,106,10,0
2018-11-22,7736,5900,6626,109,10,0
2018-11-23,7535,5734,6410,107,12,0
2018-11-24,7485,5702,6501,105,9,0
2018-11-25,7528,5705,6513,105,9,0
2018-11-26,7689,5832,6659,110,9,0
2018-11-27,7786,5935,6814,120,9,0
2018-11-29,7816,5953,6873,125,11,0
2018-11-30,7861,6048,6954,130,13,0
2018-12-01,7543,5796,6651,129,10,0
2018-12-02,7739,5943,6775,133,10,0
2018-12-04,8648,6677,7582,143,10,0
2018-12-05,8704,6710,7598,139,11,0
2018-12-06,8721,6697,7370,126,12,0
2018-12-07,8746,6697,7270,115,13,0
2018-12-08,8204,6248,6880,112,12,0
2018-12-09,8207,6241,6872,109,14,0
2018-12-10,8750,6640,7236,115,19,0
2018-12-11,8588,6505,7078,121,20,0
2018-12-12,8378,6353,6945,125,17,0
2018-12-13,8200,6223,6843,118,14,0
2018-12-14,8024,6086,6809,122,11,0
2018-12-15,7991,6070,6822,120,11,0
2018-12-16,7903,6038,6829,123,9,0
2018-12-17,7880,6062,7021,134,3,0
2018-12-18,7987,6154,6953,130,2,0
2018-12-19,7963,6115,6840,133,5,0
2018-12-20,7813,6007,6804,143,6,0
2018-12-21,7553,5823,6470,136,8,0
2018-12-22,7331,5646,6246,130,9,0
2018-12-23,7206,5545,6108,124,9,0
2018-12-24,6533,5019,5418,104,11,0
2018-12-25,5481,4171,4688,97,10,0
2018-12-26,4986,3787,4470,104,9,0
2018-12-27,4633,3549,4227,101,11,0
2018-12-28,4555,3483,4323,109,9,0
2018-12-29,4642,3552,4417,112,7,0
2018-12-30,4697,3598,4480,118,8,0
2018-12-31,4686,3579,4517,121,6,0
2019-01-01,4684,3599,4554,123,6,0
2019-01-02,4855,3749,4562,109,5,0
2019-01-03,5073,3877,4741,114,3,0
2019-01-04,5261,4021,4767,109,6,0
2019-01-05,5339,4088,4815,110,6,0
2019-01-06,5376,4109,4870,113,10,0
2019-01-07,5961,4580,5322,118,11,0
2019-01-08,6794,5250,6028,119,12,0
2019-01-09,7148,5516,6292,116,15,0
2019-01-10,7346,5669,6354,106,14,0
2019-01-11,7532,5813,6615,116,12,0
2019-01-12,7620,5856,6556,115,14,0
2019-01-13,7693,5878,6477,109,11,0
2019-01-14,7777,5932,6661,112,11,0
2019-01-15,7481,5667,6347,121,10,0
2019-01-16,7551,5753,6383,122,10,0
2019-01-17,7786,5972,6625,127,10,0
2019-01-18,7844,6024,6656,127,12,0
2019-01-19,7789,5967,6701,125,13,0
2019-01-20,7799,5995,6803,128,14,0
2019-01-21,7875,6067,6796,125,15,0
2019-01-22,8300,6401,7128,118,16,0
2019-01-23,8412,6483,7227,117,13,0
2019-01-24,8552,6603,7428,120,14,0
2019-01-25,8602,6626,7385,110,11,0
2019-01-26,8705,6729,7504,114,10,0
2019-01-27,8774,6791,7497,110,11,0
2019-01-28,8817,6811,7360,110,9,0
2019-01-29,8942,6941,7424,106,9,0
2019-01-30,8999,6993,7419,108,9,0
2019-01-31,8910,6913,7333,121,11,0
2019-02-01,8910,6908,7276,124,14,0
2019-02-02,8877,6885,7202,122,13,0
