date,incoming user,interacting user,heavily interacting user,interested user,engaged user,signed up user
2018-05-07,6914,4745,3938,10,0,0
2018-05-08,7190,5901,4181,11,0,0
2018-05-09,6987,6080,4172,8,0,0
2018-05-10,6607,5752,4068,7,1,0
2018-05-11,6473,5632,4163,8,1,0
2018-05-12,6386,5542,4151,9,2,0
2018-05-13,6234,5389,4184,9,3,0
2018-05-14,6136,5291,4338,13,4,0
2018-05-15,5919,5058,4372,10,4,0
2018-05-16,5847,4979,4366,11,4,0
2018-05-17,5904,5012,4373,11,3,0
2018-05-18,5839,4926,4240,12,3,0
2018-05-19,5779,4847,4186,11,2,0
2018-05-20,5713,4806,4111,9,1,0
2018-05-21,5489,4608,3838,7,1,0
2018-05-22,5356,4434,3656,7,1,0
2018-05-23,5264,4337,3586,7,0,0
2018-05-24,5296,4363,3576,7,1,0
2018-05-25,5362,4416,3587,5,1,0
2018-05-26,5336,4402,3584,6,2,0
2018-05-27,5271,4344,3539,6,2,0
2018-05-28,5191,4282,3507,4,2,0
2018-05-29,5142,4260,3491,4,2,0
2018-05-30,5122,4241,3541,3,2,0
2018-05-31,4892,4043,3422,4,1,0
