date,Total new users in the site,Clicks on download from anywhere,CLI downloads (from web),CLI downloads (from NPM),Total CLI downloads,First run of the CLI,Total pushes from the CLI,Successful pushes from the CLI,First pushes from the CLI,Visit the showcase after push - method 1,Visit the showcase after push - method 2
2018-01-01,3825,0,0,0,0,0,0,0,0,21,0
2018-01-08,4880,0,0,0,0,0,0,0,0,25,0
2018-01-15,4947,0,0,0,0,0,0,0,0,31,0
2018-01-22,5236,0,0,56,56,0,0,0,0,24,0
2018-01-29,5429,0,0,32,32,0,0,0,0,32,0
2018-02-05,5788,0,0,117,117,0,0,0,0,24,0
2018-02-12,5251,0,0,639,639,0,0,0,0,24,0
2018-02-19,5422,0,0,666,666,0,0,0,0,24,0
2018-02-26,5588,0,0,486,486,0,0,0,0,31,0
2018-03-05,5738,0,0,307,307,0,0,0,0,22,0
2018-03-12,6233,0,0,1072,1072,0,14,0,0,22,0
2018-03-19,5724,0,0,53,53,0,46,0,0,13,0
2018-03-26,6056,0,0,233,233,18,28,0,0,14,0
2018-04-02,5819,0,0,39,39,21,24,0,0,14,0
2018-04-09,6176,127,27,174,201,19,29,0,0,13,0
2018-04-16,6575,143,35,360,395,12,53,0,0,23,0
2018-04-23,6169,137,35,128,128,8,35,8,1,17,0
